"","Code","Country.Name","zoo_EID_counts_binom","zoo_EID_counts_pois","Ad_zoo_EID_counts_pois","Agricultural_land","GDP","Population","Population_density","Popolation_growth","Precipitation","Livestock_density","Forest_coverage","Temperature","Aves_richness","Mammalian_richness","Im_counts","Ex_counts","Year","RE","RB","Im_counts_scaled","Ex_counts_scaled","Mammalian_richness_scaled","Aves_richness_scaled","Temperature_scaled","Livestock_density_scaled","Precipitation_scaled","Population_density_scaled","GDP_scaled","GDP_p_c","GDP_p_scaled","Popolation_growth_scaled","Forest_coverage_scaled","Agricultural_land_scaled"
"45",95,"Israel",1,1,5,26.06284658,NA,4159000,192.1903882,1.306891786,435,0.93,NA,18.78,526,117,659.852,82,1984,129,22.9637946,-0.369669985,-0.712904294,-0.965714187,-0.732430567,0.536202763,0.533440512,-0.968901467,0.526387387,NA,NA,NA,0.084184577,NA,-0.959231409
"46",95,"Israel",1,1,6,26.01663586,1.85e+11,6570000,303.6044362,2.014058394,435,1.03,7.08,19.99,526,117,11970,454,2002,129,19.6347032,-0.33176557,-0.70505122,-0.965714187,-0.732430567,0.684982891,0.709345771,-0.968901467,1.235119776,-0.656882732,28158.29528,0.231566612,0.777492211,-1.277049102,-0.961641605
"47",96,"Italy",1,1,21,59.50494713,1.09e+12,55955411,190.253344,0.424722057,832,0.72,NA,12.36,484,131,4296.632,3759,1977,271,4.766738434,-0.357481814,-0.635281302,-0.891692842,-0.833871899,-0.253192629,0.164039468,-0.281968596,0.514065368,-0.443629862,19479.79615,-0.257984585,-0.780696486,NA,0.784995862
"48",96,"Italy",1,1,21,57.25748869,1.56e+12,56719240,192.8504301,0.083708573,832,0.78,25.81,12.99,484,131,57434.0788,16633.614,1990,271,4.766738434,-0.179398924,-0.363492874,-0.891692842,-0.833871899,-0.175728595,0.269582623,-0.281968596,0.530586077,-0.332879752,27503.89462,0.194652093,-1.115026824,-0.305569233,0.667776003
"49",96,"Italy",1,1,21,54.32661249,1.6e+12,56797087,193.1151168,0.067924433,832,0.73,26.34,12.83,484,131,128193.6518,53290.979,1992,271,4.766738434,0.057742113,0.410359266,-0.891692842,-0.833871899,-0.195402,0.181629993,-0.281968596,0.532269815,-0.323454211,28170.45881,0.232252753,-1.130501628,-0.278079413,0.514911377
"50",96,"Italy",1,1,21,52.64696882,1.75e+12,56906744,193.4879603,0.028774016,832,0.73,27.93,12.93,484,131,391127.79,8612.68,1998,271,4.762177221,0.938929937,-0.53281811,-0.891692842,-0.833871899,-0.183106122,0.181629993,-0.281968596,0.534641565,-0.288108431,30752.06693,0.377880392,-1.16888478,-0.195609953,0.427306823
"51",98,"Japan",1,1,40,16.44091034,2.63e+12,120083000,329.2651494,0.648316737,1668,1.66,NA,10.31,593,163,261881.656,131161.681,1984,316,2.515636385,0.505779185,2.054242001,-0.722501197,-0.570607491,-0.505258135,1.817548903,1.164570143,1.398353936,-0.080746524,21901.51812,-0.121376069,-0.56148379,NA,-1.461079179
"52",98,"Japan",1,1,40,15.28798683,3.65e+12,124829000,342.372463,0.324167599,1668,1.89,68.37,10.79,593,163,133706.95,534,1993,316,2.515636385,0.076219178,-0.703362387,-0.722501197,-0.570607491,-0.446237919,2.222130999,1.164570143,1.481732809,0.159604777,29240.00032,0.292585227,-0.879280288,1.901915189,-1.521211784
"53",98,"Japan",1,1,40,14.81207133,3.9e+12,125757000,345.0123457,0.226884732,1668,1.83,68.33,10.85,593,163,192567.4401,532.364,1996,316,2.512782589,0.273482065,-0.703396923,-0.722501197,-0.570607491,-0.438860392,2.116587843,1.164570143,1.498525757,0.21851441,31012.19018,0.392553857,-0.974656616,1.899840485,-1.546033933
"54",99,"Jordan",1,1,66,11.76954269,35488605512,7211863,81.23296914,1.422787817,111,0.6,1.1,19.96,422,95,16873,1713,2012,11,1.525264692,-0.315333836,-0.678473209,-1.082033443,-0.983618627,0.681294128,-0.047046843,-1.529521744,-0.179440272,-0.692113378,4920.865179,-1.079248951,0.19780929,-1.587217261,-1.704721974
